Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,,,,,
January 2010,Kulkpong CHPS,,,19,,,1,,,,,,,,,,,,,1,,,,,20,,3,,,,,,
January 2010,Kundungu Health Centre,1,0,44,,,,,,,,,,,,,,,,,,3,,,3,,7,3,,,,,
January 2010,Samuel Seidu Memorial Clinic,,,46,,,,,,,,,,8,1,,,,,4,,,1,,23,,14,2,,,,,
January 2010,Biitenge CHPS,,,14,,,,,,,,,,1,1,,,1,,1,,,,,2,,10,,,,,,
February 2010,Bulenga Health Centre,7,0,127,,,,,,,,,,3,,,,5,,3,,,,,8,,20,15,,,,,
February 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Yaala Health Centre,1,0,19,,,,,,,,,,3,1,,,10,,6,,4,,,7,,1,7,,,,,
February 2010,Jeyiri CHPS,,,2,,,,,,,,,,,2,,,3,,,,,,,2,,5,,,,,,
February 2010,Kataa CHPS,,,21,,,,,,,,,,,,,,,,3,,,,,3,,8,,,,,,
February 2010,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Ducie CHPS,1,0,43,,,,,,,,,,,3,,,1,,2,,,,,1,,3,1,,,,,
February 2010,Holomuni Health Centre,1,0,35,,,1,,,,,,,,,,,2,,1,,1,,,9,,6,,,,,,
February 2010,Goh CHPS,,,8,,,,,,,,,,,,,,,,1,,1,,,,,4,1,,,,,
February 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Funsi Health Centre,10,0,84,,,,,,,,,,8,10,,,3,,1,,5,,,6,,13,6,,,,,
February 2010,Buffiamah CHPS,,,25,,,,,,,,,,,,,,,,1,,,,,3,,4,2,,,,,
February 2010,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Katua CHPS,,,16,,,,,,,,,,,,,,,,,,,,,3,,1,2,,,,,
February 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Naaha Health Center,3,0,15,,,,,,,,,,3,,,,1,,,,1,,,,,,1,,,,,
February 2010,Loggu Health Centre,1,0,35,,,,,,,,,,4,1,,,1,,8,,,,,1,,4,1,,,,,
February 2010,Kulkpong CHPS,,,46,,,,,,,,,,,,,,,,2,,,,,1,,7,3,,,,,
February 2010,Kundungu Health Centre,1,0,44,,,,,,,,,,,4,,,,,3,,8,,,1,,2,7,,,,,
February 2010,Samuel Seidu Memorial Clinic,,,38,,,,,,,,,,9,,,,1,,5,,,,,13,,8,2,,,,,
February 2010,Biitenge CHPS,,,16,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,,
March 2010,Bulenga Health Centre,8,0,133,,,1,,,,,,,6,,,,1,,8,,,,18,6,,35,5,,,,,
March 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Yaala Health Centre,5,0,30,,,,,,,,,,,3,,,1,,4,,5,,,16,,4,1,,,,,
March 2010,Jeyiri CHPS,,,16,,,,,,,,,,,,,,,,1,,,,,10,,8,,,,,,
March 2010,Kataa CHPS,,,17,,,,,,,,,,,,,,,,1,,,,,1,,6,,,,,,
March 2010,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Ducie CHPS,,,47,,,47,,8,,17,,,1,,,,2,,1,,,,,,,4,6,,,,,
March 2010,Holomuni Health Centre,4,0,37,,,,,,,,,,,1,,,12,,3,,,,,8,,10,,,,,,
March 2010,Goh CHPS,,,10,,,,,,,,,,1,,,,,,1,,,,,4,,3,,,,,,
March 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Funsi Health Centre,5,0,83,,,,,,,,,,26,11,,,1,,7,,6,,,19,,13,19,,,,,
March 2010,Buffiamah CHPS,,,12,,,,,,,,,,,,,,1,,1,,,,,3,,3,1,,,,,
March 2010,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Katua CHPS,,,18,,,,,,,,,,,,,,,,,,1,,,6,,4,,,,,,
March 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Naaha Health Center,3,0,8,,,,,,,,,,,,,,,,,,2,,,,,7,1,,,,,
March 2010,Loggu Health Centre,4,0,54,,,,,,,,,,2,3,,,1,,6,,2,,,2,,7,2,,,,,
March 2010,Kulkpong CHPS,,,30,,,,,,,,,,,,,,,,1,,,,,9,,9,5,,,,,
March 2010,Kundungu Health Centre,1,0,41,,,,,,,,,,,3,,,1,,2,,5,,,5,,18,,,,,,
March 2010,Samuel Seidu Memorial Clinic,,,58,,,,,2,,,,,4,,,,,,6,,2,,,10,,8,10,,,,,
March 2010,Biitenge CHPS,,,23,,,,,,,,,,1,,,,,,4,,,,,3,,,,,,,,
April 2010,Bulenga Health Centre,8,0,142,,,,,,,,,,4,,,,7,,11,,,,,6,,12,15,,,,,
April 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Yaala Health Centre,2,0,26,,,,,,,,,,,,,,2,,5,,3,,,3,,6,3,,,,,
April 2010,Jeyiri CHPS,,,13,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,
April 2010,Kataa CHPS,,,9,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,
April 2010,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Ducie CHPS,,,40,,,1,,,,,,,1,1,,,,,2,,3,,,1,,3,4,,,,,
April 2010,Holomuni Health Centre,2,0,41,,,,,,,,,,3,2,,,2,,1,,,,,,,,,,,,,
April 2010,Goh CHPS,,,8,,,,,,,,,,1,,,,,,1,,,,,,,4,1,,,,,
April 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Funsi Health Centre,14,0,82,,,,,2,,1,,,17,11,,,7,,6,,10,,,19,,16,12,,,,,
April 2010,Buffiamah CHPS,,,14,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
April 2010,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Katua CHPS,,,13,,,,,,,,,,,,,,1,,,,1,,,8,,4,,,,,,
April 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2010,Naaha Health Center,1,0,10,,,,,,,,,,,1,,,,,1,,,,,1,,3,,,,,,
April 2010,Loggu Health Centre,2,0,50,,,,,,,,,,4,3,,,2,,4,,3,,,5,,11,,,,,,
April 2010,Kulkpong CHPS,1,0,26,,,1,,,,,,,,,,,,,,,,,,7,,7,3,,,,,
April 2010,Kundungu Health Centre,3,0,43,,,,,,,,,,1,2,,,1,,1,,1,,,7,,14,3,,,,,
April 2010,Samuel Seidu Memorial Clinic,,,48,,,,,,,,,,6,2,,,,,9,,,,,11,,9,5,,,,,
April 2010,Biitenge CHPS,,,14,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
May 2010,Bulenga Health Centre,7,0,157,,,,,,,,,,7,,,,,,14,,,,,10,,12,18,,,,,
May 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2010,Yaala Health Centre,1,0,33,,,,,1,,1,,,5,,,,,,,,12,,,3,,3,,,,,,
May 2010,Jeyiri CHPS,,,8,,,,,,,,,,,,,,1,,,,,,,7,,9,,,,,,
May 2010,Kataa CHPS,,,6,,,,,,,,,,1,,,,,,,,,,,2,,6,,,,,,
May 2010,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,1,,,,,4,,10,1,,,,,
May 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2010,Ducie CHPS,3,0,37,,,,,1,,,,,1,1,,,6,,5,,,,,,,1,5,,,,,
May 2010,Holomuni Health Centre,5,0,57,,,,,,,,,,,3,,,1,,2,,1,,,1,,9,,,,,,
May 2010,Goh CHPS,,,10,,,,,,,,,,2,,,,,,1,,,,,3,,9,,,,,,
May 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2010,Funsi Health Centre,12,0,71,,,2,,2,,,,,3,16,,,7,,5,,18,,,4,,22,12,,,,,
May 2010,Buffiamah CHPS,,,18,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
May 2010,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2010,Katua CHPS,,,16,,,,,,,,,,,,,,,,2,,3,,,5,,3,,,,,,
May 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2010,Naaha Health Center,,,21,,,,,,,,,,3,,,,1,,,,2,,,2,,8,,,,,,
May 2010,Loggu Health Centre,1,0,78,,,,,,,,,,3,,,,4,,5,,3,,,10,,11,1,,,,,
May 2010,Kulkpong CHPS,2,0,33,,,,,,,,,,,,,,1,,4,,,,,6,,6,4,,,,,
May 2010,Kundungu Health Centre,4,0,53,,,,,1,,,,,,2,,,,,2,,4,,,2,,10,2,,,,,
May 2010,Samuel Seidu Memorial Clinic,,,51,,,,,,,,,,13,1,,,1,,5,,,,,18,,13,6,,,,,
May 2010,Biitenge CHPS,,,16,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
June 2010,Bulenga Health Centre,10,0,172,,,2,,,,,,,3,,,,,,6,,,,,,,42,20,,,,,
June 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Yaala Health Centre,3,0,51,,,,,,,,,,,2,,,3,,1,,36,,,9,,10,7,,,,,
June 2010,Jeyiri CHPS,,,17,,,,,,,,,,,,,,,,,,,,,13,,5,,,,,,
June 2010,Kataa CHPS,,,10,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
June 2010,Kpaglahi CHPS,,,22,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
June 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Ducie CHPS,,,30,,,,,,,,,,,,,,2,,,,,,,,,3,4,,,,,
June 2010,Holomuni Health Centre,2,0,30,,,,,,,,,,,1,,,5,,3,,2,,,9,,,,,,,,
June 2010,Goh CHPS,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Funsi Health Centre,11,0,102,,,,,1,,,,,11,18,,,7,,8,,1,,,29,,10,19,,,,,
June 2010,Buffiamah CHPS,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
June 2010,Danyawkura CHPS,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Katua CHPS,,,16,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,
June 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2010,Naaha Health Center,,,18,,,,,,,,,,,,,,4,,,,1,,,7,,5,2,,,,,
June 2010,Loggu Health Centre,,,65,,,,,,,,,,5,1,,,1,,5,,,,,4,,8,2,,,,,
June 2010,Kulkpong CHPS,,,51,,,,,,,,,,,,,,8,,5,,,,,22,,6,,,,,,
June 2010,Kundungu Health Centre,7,0,40,,,,,,,,,105,,2,,,1,,3,,1,,,6,,16,5,,,,,
June 2010,Samuel Seidu Memorial Clinic,,,45,,,,,,,,,,8,,,,1,,1,,,,,17,,18,1,,,,,
June 2010,Biitenge CHPS,,,18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
July 2010,Bulenga Health Centre,5,0,174,,,,,,,,,,8,,,,2,,2,,,,,,,50,22,,,,,
July 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2010,Yaala Health Centre,3,0,38,,,,,,,,,,1,2,,,,,,,2,,,13,,1,,,,,,
July 2010,Jeyiri CHPS,,,19,,,,,,,,,,,,,,,,,,,,,7,,4,1,,,,,
July 2010,Kataa CHPS,,,2,,,,,,,,,,1,,,,2,,2,,,,,,,7,,,,,,
July 2010,Kpaglahi CHPS,,,12,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
July 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2010,Ducie CHPS,1,0,32,,,1,,,,,,,2,,,,1,,1,,,,,1,,5,4,,,,,
July 2010,Holomuni Health Centre,4,0,35,,,,,,,,,,,,,,,,1,,3,,,10,,7,,,,,,
July 2010,Goh CHPS,,,8,,,,,,,,,,,,,,,,2,,,,,3,,5,,,,,,
July 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2010,Funsi Health Centre,11,0,67,,,1,,1,,1,,,6,8,,,,,1,,6,,,21,,9,13,,,,,
July 2010,Buffiamah CHPS,,,3,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
July 2010,Danyawkura CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
July 2010,Katua CHPS,,,15,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,
July 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2010,Naaha Health Center,1,0,19,,,,,,,,,,,,,,,,,,3,,,6,,21,,,,,,
July 2010,Loggu Health Centre,,,80,,,,,,,,,,8,1,,,1,,4,,2,,,3,,32,,,,,,
July 2010,Kulkpong CHPS,,,75,,,,,,,,,,,1,,,,,3,,,,,6,,17,,,,,,
July 2010,Kundungu Health Centre,4,0,47,,,,,,,,,,1,5,,,2,,1,,4,,,5,,31,3,,,,,
July 2010,Samuel Seidu Memorial Clinic,,,34,,,,,,,,,,2,,,,3,,3,,,,,26,,22,7,,,,,
July 2010,Biitenge CHPS,,,15,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,
August 2010,Bulenga Health Centre,8,0,148,,,,,,,,,,18,,,,5,,,,,,,2,,21,12,,,,,
August 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2010,Yaala Health Centre,3,0,37,,,,,1,,,,,1,2,,,1,,2,,,,,9,,21,5,,,,,
August 2010,Jeyiri CHPS,,,23,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
August 2010,Kataa CHPS,,,7,,,,,1,,,,,1,,,,1,,2,,,,,3,,12,3,,,,,
August 2010,Kpaglahi CHPS,,,15,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,
August 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2010,Ducie CHPS,,,33,,,,,,,,,,,,,,,,,,1,,,,,6,1,,,,,
August 2010,Holomuni Health Centre,2,0,41,,,,,,,,,,,1,,,1,,,,2,,,11,,20,,,,,,
August 2010,Goh CHPS,,,5,,,,,,,,,,,,,,,,1,,,,,2,,13,1,,,,,
August 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2010,Funsi Health Centre,8,0,107,,,,,,,,,,10,5,,,4,,3,,7,,,10,,56,8,,,,,
August 2010,Buffiamah CHPS,,,11,,,,,,,,,,,,,,2,,,,,,,1,,4,,,,,,
August 2010,Danyawkura CHPS,,,18,,,,,,,,,,,,,,,,6,,,,,1,,14,2,,,,,
August 2010,Katua CHPS,,,16,,,,,,,,,,,,,,1,,1,,,,,4,,11,,,,,,
August 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2010,Naaha Health Center,,,35,,,,,,,,,,,1,,,,,,,3,,,3,,9,,,,,,
August 2010,Loggu Health Centre,4,0,90,,,,,,,,,,9,1,,,,,3,,1,,,,,9,,,,,,
August 2010,Kulkpong CHPS,,,53,,,,,,,,,,,1,,,,,1,,,,,7,,10,3,,,,,
August 2010,Kundungu Health Centre,5,0,39,,,,,,,,,,,5,,,,,1,,3,,,3,,35,5,,,,,
August 2010,Samuel Seidu Memorial Clinic,,,35,,,,,,,,,,8,1,,,1,,5,,,,,22,,32,,,,,,
August 2010,Biitenge CHPS,,,27,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
September 2010,Bulenga Health Centre,11,0,158,,,,,,,,,,11,,,,2,,10,,,,,14,,44,5,,,,,
September 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2010,Yaala Health Centre,6,0,28,,,,,,,,,,2,1,,,,,4,,7,,,8,,18,2,,,,,
September 2010,Jeyiri CHPS,,,14,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,
September 2010,Kataa CHPS,,,6,,,,,,,,,,1,,,,1,,,,2,,,2,,11,4,,,,,
September 2010,Kpaglahi CHPS,,,5,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,
September 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2010,Ducie CHPS,,,39,,,,,,,,,,1,,,,,,,,,,,,,7,2,,,,,
September 2010,Holomuni Health Centre,4,0,23,,,,,,,,,,10,2,,,4,,2,,3,,,20,,48,,,,,,
September 2010,Goh CHPS,,,5,,,,,,,,,,1,,,,,,1,,,,,5,,13,,,,,,
September 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2010,Funsi Health Centre,6,0,84,,,,,,,,,,44,9,,,5,,11,,3,,,22,1,94,4,,,,,
September 2010,Buffiamah CHPS,,,16,,,,,,,,,,,,,,,,,,,,,3,,8,1,,,,,
September 2010,Danyawkura CHPS,,,14,,,,,,,,,,,,,,,,4,,,,,3,,17,,,,,,
September 2010,Katua CHPS,,,13,,,,,,,,,,,,,,,,,,,,,1,,7,,,,,,
September 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2010,Naaha Health Center,5,0,31,,,,,,,,,,,,,,3,,2,,,,,1,,24,,,,,,
September 2010,Loggu Health Centre,6,0,53,,,,,,,,,,16,2,,,5,,5,,,,,4,,11,2,,,,,
September 2010,Kulkpong CHPS,,,38,,,,,,,,,,,,,,,,,,,,,1,,13,,,,,,
September 2010,Kundungu Health Centre,4,0,31,,,,,,,,,,2,,,,3,,2,,,,,2,,17,6,,,,,
September 2010,Samuel Seidu Memorial Clinic,,,35,,,,,,,,,,16,,,,4,,4,,,,,10,,24,5,,,,,
September 2010,Biitenge CHPS,,,10,,,,,,,,,,,,,,,,2,,,,,1,,7,1,,,,,
October 2010,Bulenga Health Centre,18,0,165,,,2,,,,,,,3,,,,2,,7,,,,,1,,57,2,,,,,
October 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Yaala Health Centre,8,0,28,,,,,,,,,,2,,,,1,,,,1,,,5,,3,,,,,,
October 2010,Jeyiri CHPS,,,5,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,
October 2010,Kataa CHPS,,,6,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,
October 2010,Kpaglahi CHPS,,,9,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
October 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Ducie CHPS,,,33,,,,,,,,,,1,,,,,,,,,,,,,6,1,,,,,
October 2010,Holomuni Health Centre,2,0,27,,,,,,,,,,2,3,,,3,,4,,2,,,22,,49,3,,,,,
October 2010,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
October 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Funsi Health Centre,14,0,82,,,1,,3,,,,,53,9,,,4,,3,,8,,,8,,81,21,,,,,
October 2010,Buffiamah CHPS,,,24,,,,,,,,,,,,,,1,,,,,,,,,19,,,,,,
October 2010,Danyawkura CHPS,,,21,,,,,,,,,,1,,,,,,1,,,,,5,,29,2,,,,,
October 2010,Katua CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Naaha Health Center,1,0,32,,,,,,,,,,,,,,2,,,,2,,,1,,34,1,,,,,
October 2010,Loggu Health Centre,4,0,67,,,,,,,,,,9,6,,,,,,,1,,,,5,10,,,,,,
October 2010,Kulkpong CHPS,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2010,Kundungu Health Centre,5,0,35,,,,,,,,,,2,1,,,1,,1,,5,,,7,,16,1,,,,,
October 2010,Samuel Seidu Memorial Clinic,,,43,,,,,,,,,,45,,,,,,5,,,,,19,,46,13,,,,,
October 2010,Biitenge CHPS,,,25,,,,,,,,,,,,,,,,,,,,,2,,17,2,,,,,
November 2010,Bulenga Health Centre,5,0,155,,,,,,,,,,19,,,,7,,13,,,,,5,,44,3,,,,,
November 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2010,Yaala Health Centre,5,0,14,,,2,,1,,,,,3,,,,1,,3,,4,,,4,,18,2,,,,,
November 2010,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,8,2,,,,,
November 2010,Kataa CHPS,,,8,,,,,,,,,,,,,,1,,,,,,,1,,6,,,,,,
November 2010,Kpaglahi CHPS,,,13,,,,,,,,,,,,,,,,,,,,,2,,15,,,,,,
November 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2010,Ducie CHPS,,,24,,,,,,,,,,,,,,2,,2,,,,,9,1,6,,,,,,
November 2010,Holomuni Health Centre,3,0,33,,,,,,,,,,5,3,,,4,,2,,2,,,16,,36,,,,,,
November 2010,Goh CHPS,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
November 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2010,Funsi Health Centre,7,0,60,,,,,,,,,,16,8,,,6,,8,,7,,,38,,77,13,,,,,
November 2010,Buffiamah CHPS,,,21,,,,,,,,,,,,,,,,,,,,,2,,16,2,,,,,
November 2010,Danyawkura CHPS,,,19,,,,,,,,,,,,,,,,6,,,,,,,5,,,,,,
November 2010,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2010,Naaha Health Center,5,0,41,,,1,,,,,,,,,,,4,,,,2,,,4,,13,1,,,,,
November 2010,Loggu Health Centre,3,0,65,,,,,,,,,,3,,,,6,,3,,,,,4,,16,,,,,,
November 2010,Kulkpong CHPS,,,34,,,,,,,,,,,,,,,,2,,,,,,,8,,,,,,
November 2010,Kundungu Health Centre,2,0,28,,,,,,,,,,,2,,,2,,3,,9,,,6,,16,8,,,,,
November 2010,Samuel Seidu Memorial Clinic,,,30,,,,,,,,,,17,3,,,2,,7,,2,,,8,,23,12,,,,,
November 2010,Biitenge CHPS,,,14,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,
December 2010,Bulenga Health Centre,14,0,198,,,,,,,,,,20,,,,8,,13,,,,,,,66,10,,,,,
December 2010,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2010,Yaala Health Centre,,,15,,,,,,,,,,1,,,,1,,4,,,,,10,,6,5,,,,,
December 2010,Jeyiri CHPS,,,29,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
December 2010,Kataa CHPS,,,11,,,,,,,,,,,,,,2,,,,,,,1,,12,,,,,,
December 2010,Kpaglahi CHPS,,,11,,,,,,,,,,,,,,,,,,,,,1,,10,1,,,,,
December 2010,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2010,Ducie CHPS,,,26,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,
December 2010,Holomuni Health Centre,,,30,,,,,,,,,,,1,,,2,,,,,,,16,,64,,,,,,
December 2010,Goh CHPS,,,9,,,,,,,,,,,,,,,,1,,,,,2,,20,1,,,,,
December 2010,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2010,Funsi Health Centre,15,0,86,,,,,,,,,,26,5,,,9,,5,,2,,,40,,74,5,,,,,
December 2010,Buffiamah CHPS,,,25,,,,,,,,,,1,,,,,,1,,,,,,,12,2,,,,,
December 2010,Danyawkura CHPS,,,22,,,,,,,,,,5,,,,,,6,,,,,4,,11,2,,,,,
December 2010,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2010,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2010,Naaha Health Center,3,0,54,,,,,,,,,,,1,,,1,,2,,1,,,,,14,2,,,,,
December 2010,Loggu Health Centre,3,0,61,,,,,,,,,,18,,,,2,,4,,2,,,3,,15,2,,,,,
December 2010,Kulkpong CHPS,,,48,,,,,,,,,,,,,,4,,,,,,,,,20,,,,,,
December 2010,Kundungu Health Centre,,,27,,,,,,,,,,1,4,,,1,,2,,4,,,7,,32,4,,,,,
December 2010,Samuel Seidu Memorial Clinic,,,40,,,,,,,,,,13,5,,,,,10,,,,,11,,16,3,,,,,
December 2010,Biitenge CHPS,,,26,,,,,,,,,,,,,,1,,1,,,,,,,8,,,,,,
January 2011,Bulenga Health Centre,14,0,178,,,,,,,,,,8,1,,,13,,8,,,,,3,,31,20,,,,,
January 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Yaala Health Centre,4,0,26,,,,,1,,1,,,1,,,,3,,3,,2,,,17,,15,4,,,,,
January 2011,Jeyiri CHPS,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Kataa CHPS,,,11,,,,,,,,,,,,,,1,,,,,,,3,,7,,,,,,
January 2011,Kpaglahi CHPS,,,14,,,,,,,,,,,,,,,,,,,,,3,,21,,,,,,
January 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Ducie CHPS,,,34,,,,,,,,,,,,,,,,,,,,,7,,14,,,,,,
January 2011,Holomuni Health Centre,2,0,86,,,,,,,,,,4,1,,,1,,6,,1,,,26,,46,,,,,,
January 2011,Goh CHPS,,,7,,,,,,,,,,,,,,,,,,,,,1,,23,1,,,,,
January 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Funsi Health Centre,11,0,100,,,,,,,,,,13,14,,,4,,7,,1,,,42,2,61,7,,,,,
January 2011,Buffiamah CHPS,,,32,,,,,,,,,,5,,,,,,,,,,,2,,8,1,,,,,
January 2011,Danyawkura CHPS,,,30,,,,,,,,,,2,,,,2,,4,,,,,7,,18,2,,,,,
January 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2011,Naaha Health Center,6,0,53,,,,,,,,,,,1,,,2,,,,,,,1,,17,,,,,,
